R202609000001,O202609002026,U10129,P10018,5,价格实惠比实体店便宜很多,2026-09-09 16:21:12,否,,1,31,非常抱歉给您带来不好的体验我们会改进,2026-09-09 19:21:12
R202609000002,O202609007186,U10095,P10014,4,绘本内容不错孩子很喜欢,2026-09-14 23:14:44,否,,1,1,感谢您的认可欢迎下次光临,2026-09-15 02:14:44
R202609000003,O202609006875,U10276,P10013,5,客服态度好有问必答点赞,2026-09-10 09:13:42,否,,3,49,感谢您的理解祝您生活愉快,2026-09-10 10:13:42
R202609000004,O202609001051,U10233,P10005,3,质量凑合对得起这个价格,2026-09-05 22:54:30,否,,2,20,感谢您的认可欢迎下次光临,2026-09-05 23:54:30
R202609000005,O202609004379,U10111,P10008,5,质量很好做工精细值得购买,2026-09-11 18:48:13,否,,1,24,已收到您的反馈我们会尽快处理,2026-09-11 19:48:13
R202609000006,O202609000093,U10368,P10012,4,价格实惠比实体店便宜很多,2026-09-10 20:46:02,否,,3,40,感谢您的认可欢迎下次光临,2026-09-10 23:46:02
R202609000007,O202609000601,U10410,P10006,1,跟描述完全不符要求退货,2026-09-08 19:02:18,否,,0,50,感谢您的理解祝您生活愉快,2026-09-08 22:02:18
R202609000008,O202609001886,U10227,P10002,4,保温效果很好外观也漂亮物流很快,2026-09-14 00:00:23,否,,3,5,非常抱歉给您带来不好的体验我们会改进,2026-09-14 01:00:23
R202609000009,O202609007369,U10019,P10016,3,东西还行就是发货慢了点,2026-09-10 12:48:35,否,,0,47,感谢您的理解祝您生活愉快,2026-09-10 16:48:35
R202609000010,O202609001912,U10481,P10019,5,颜色正没有色差穿着舒服,2026-09-07 20:10:15,是,追评：质量比预期好,2,0,感谢您的理解祝您生活愉快,2026-09-07 23:10:15
R202609000011,O202609009427,U10438,P10006,5,保温效果很好外观也漂亮物流很快,2026-09-07 04:09:07,是,追评：质量比预期好,3,24,非常抱歉给您带来不好的体验我们会改进,2026-09-07 09:09:07
R202609000012,O202609006456,U10277,P10001,4,物流超快第二天就到了包装完好,2026-09-06 13:18:54,否,,3,8,,
R202609000013,O202609000013,U10490,P10019,5,绘本内容不错孩子很喜欢,2026-09-09 18:25:46,否,,2,49,感谢您的理解祝您生活愉快,2026-09-09 20:25:46
R202609000014,O202609001399,U10343,P10001,3,东西还行就是发货慢了点,2026-09-09 09:08:05,否,,1,4,非常抱歉给您带来不好的体验我们会改进,2026-09-09 12:08:05
R202609000015,O202609006939,U10406,P10008,3,质量凑合对得起这个价格,2026-09-11 03:29:05,否,,0,16,非常抱歉给您带来不好的体验我们会改进,2026-09-11 06:29:05
R202609000016,O202609000002,U10309,P10018,2,收到货发现有瑕疵要求换货,2026-09-08 22:08:16,否,,3,22,,
R202609000017,O202609005028,U10485,P10006,3,东西还行就是发货慢了点,2026-09-08 01:12:35,否,,0,45,已收到您的反馈我们会尽快处理,2026-09-08 03:12:35
R202609000018,O202609007342,U10496,P10013,4,价格实惠比实体店便宜很多,2026-09-13 08:00:12,否,,3,9,非常抱歉给您带来不好的体验我们会改进,2026-09-13 09:00:12
R202609000019,O202609008575,U10168,P10010,5,绘本内容不错孩子很喜欢,2026-09-10 10:53:30,否,,0,50,,
R202609000020,O202609003349,U10292,P10001,5,质量很好做工精细值得购买,2026-09-11 02:45:51,否,,3,49,已收到您的反馈我们会尽快处理,2026-09-11 04:45:51
R202609000021,O202609006823,U10419,P10003,4,客服态度好有问必答点赞,2026-09-09 19:14:57,是,用了一段时间来追评确实不错,2,17,,
R202609000022,O202609001755,U10288,P10020,3,包装有点简陋东西没问题,2026-09-14 06:43:35,否,,1,10,非常抱歉给您带来不好的体验我们会改进,2026-09-14 11:43:35
R202609000023,O202609004999,U10459,P10005,4,绘本内容不错孩子很喜欢,2026-09-11 22:37:55,否,,2,14,感谢您的理解祝您生活愉快,2026-09-12 01:37:55
