O202609000001,U10449,P10015,9,已支付,已支付,5997.00,779.61,5217.39,微信,H5,2026-09-07 17:55:31,2026-09-07 18:15:31,,,0,,,
O202609000002,U10343,P10007,3,已发货,已支付,459.00,64.26,394.74,微信,小程序,2026-09-14 18:01:38,2026-09-14 18:06:38,2026-09-15 11:21:38,,0,,,
O202609000003,U10357,P10004,8,已完成,已支付,1797.00,143.76,1653.24,支付宝,小程序,2026-09-09 16:55:49,2026-09-09 16:59:49,2026-09-10 17:12:49,2026-09-13 00:12:49,0,,,
O202609000004,U10197,P10002,1,已支付,已支付,2598.00,467.64,2130.36,银行卡,APP,2026-09-07 00:22:54,2026-09-07 00:52:54,,,0,,,
O202609000005,U10348,P10004,9,已发货,已支付,1198.00,59.90,1138.10,货到付款,APP,2026-09-14 07:53:22,2026-09-14 08:14:22,2026-09-15 03:55:22,,0,,,
O202609000006,U10444,P10005,8,待支付,未支付,89.90,12.59,77.31,微信,H5,2026-09-03 02:13:25,,,,1,审核通过,尺寸不符,2026-09-10 02:13:25
O202609000007,U10363,P10009,9,已取消,未支付,2697.00,107.88,2589.12,银行卡,APP,2026-09-12 04:35:49,,,,0,,,
O202609000008,U10374,P10016,9,已退款,已退款,477.00,19.08,457.92,微信,APP,2026-09-07 12:07:47,2026-09-07 12:29:47,,,0,,,
O202609000009,U10434,P10011,8,已发货,已支付,4797.00,959.40,3837.60,微信,PC,2026-09-01 03:23:51,2026-09-01 03:47:51,2026-09-01 22:31:51,,0,,,
O202609000010,U10332,P10018,4,已支付,已支付,89.00,16.02,72.98,微信,APP,2026-09-09 21:57:40,2026-09-09 22:14:40,,,0,,,
O202609000011,U10042,P10017,1,待支付,未支付,798.00,79.80,718.20,支付宝,小程序,2026-09-11 15:25:40,,,,0,,,
O202609000012,U10423,P10006,1,已支付,已支付,129.00,21.93,107.07,微信,小程序,2026-09-01 05:09:29,2026-09-01 05:33:29,,,1,申请中,其他,2026-09-05 05:09:29
O202609000013,U10055,P10018,10,已支付,已支付,178.00,17.80,160.20,支付宝,H5,2026-09-01 00:04:58,2026-09-01 00:16:58,,,0,,,
O202609000014,U10218,P10014,2,已完成,已支付,3897.00,311.76,3585.24,微信,PC,2026-09-07 14:59:03,2026-09-07 15:08:03,2026-09-08 05:07:03,2026-09-09 18:07:03,0,,,
O202609000015,U10488,P10019,7,已支付,已支付,699.00,34.95,664.05,支付宝,小程序,2026-09-03 12:13:35,2026-09-03 12:41:35,,,0,,,
O202609000016,U10327,P10013,1,已完成,已支付,259.00,28.49,230.51,微信,PC,2026-09-07 17:44:03,2026-09-07 18:01:03,2026-09-08 09:10:03,2026-09-09 01:10:03,0,,,
O202609000017,U10311,P10003,2,已支付,已支付,597.00,0.00,597.00,银行卡,PC,2026-09-11 19:38:47,2026-09-11 20:02:47,,,1,申请中,物流损坏,2026-09-18 19:38:47
O202609000018,U10144,P10009,5,已发货,已支付,1798.00,71.92,1726.08,银行卡,APP,2026-09-14 14:16:24,2026-09-14 14:41:24,2026-09-15 10:18:24,,0,,,
O202609000019,U10022,P10002,8,已发货,已支付,1299.00,77.94,1221.06,银行卡,小程序,2026-09-09 21:25:13,2026-09-09 21:55:13,2026-09-10 03:42:13,,0,,,
O202609000020,U10076,P10014,3,已完成,已支付,3897.00,428.67,3468.33,微信,小程序,2026-09-04 17:18:24,2026-09-04 17:48:24,2026-09-05 11:47:24,2026-09-06 07:47:24,0,,,
O202609000021,U10358,P10014,4,待支付,未支付,3897.00,662.49,3234.51,微信,APP,2026-09-06 01:14:05,,,,0,,,
O202609000022,U10379,P10014,5,已发货,已支付,3897.00,272.79,3624.21,微信,小程序,2026-09-03 18:52:50,2026-09-03 19:08:50,2026-09-04 14:02:50,,0,,,
O202609000023,U10042,P10018,10,已完成,已支付,89.00,3.56,85.44,支付宝,小程序,2026-09-12 18:27:55,2026-09-12 18:53:55,2026-09-13 15:47:55,2026-09-16 13:47:55,0,,,
O202609000024,U10283,P10002,4,已发货,已支付,2598.00,519.60,2078.40,支付宝,APP,2026-09-01 22:06:16,2026-09-01 22:35:16,2026-09-02 05:07:16,,0,,,
O202609000025,U10177,P10012,8,已完成,已支付,79.00,0.00,79.00,支付宝,小程序,2026-09-13 01:28:21,2026-09-13 01:58:21,2026-09-13 11:53:21,2026-09-16 17:53:21,0,,,
O202609000026,U10025,P10001,8,已发货,已支付,299.00,53.82,245.18,微信,小程序,2026-09-08 08:02:00,2026-09-08 08:03:00,2026-09-08 09:23:00,,0,,,
O202609000027,U10430,P10017,1,已发货,已支付,399.00,19.95,379.05,货到付款,PC,2026-09-02 06:46:26,2026-09-02 07:11:26,2026-09-02 21:48:26,,0,,,
