C202609000001,U10145,P10018,3,CHATSESS160888,售后问题,8,1,281,1056,0,,2026-09-07 04:56:11,2026-09-07 05:13:47
C202609000002,U10231,P10014,3,CHATSESS731702,价格活动,4,3,88,913,0,,2026-09-02 07:32:46,2026-09-02 07:47:59
C202609000003,U10317,P10009,9,CHATSESS572167,商品咨询,4,4,176,916,0,,2026-09-10 20:13:31,2026-09-10 20:28:47
C202609000004,U10478,P10013,7,CHATSESS840419,商品咨询,2,1,166,1742,1,加购,2026-09-05 04:07:33,2026-09-05 04:36:35
C202609000005,U10249,P10006,2,CHATSESS431806,商品咨询,4,4,95,399,1,下单,2026-09-11 17:38:14,2026-09-11 17:44:53
C202609000006,U10114,P10017,1,CHATSESS146397,商品咨询,3,0,0,1215,1,加购,2026-09-11 20:59:37,2026-09-11 21:19:52
C202609000007,U10387,P10004,6,CHATSESS640734,物流查询,4,0,0,1337,0,,2026-09-03 00:13:41,2026-09-03 00:35:58
C202609000008,U10471,P10009,10,CHATSESS230091,其他,2,1,220,180,1,加购,2026-09-01 01:17:47,2026-09-01 01:20:47
C202609000009,U10291,P10019,4,CHATSESS509352,商品咨询,8,0,0,1436,0,,2026-09-13 20:35:56,2026-09-13 20:59:52
C202609000010,U10260,P10019,8,CHATSESS767741,投诉建议,2,1,149,1055,1,下单,2026-09-02 15:57:07,2026-09-02 16:14:42
C202609000011,U10041,P10018,9,CHATSESS459578,物流查询,1,1,243,1337,0,,2026-09-06 20:27:32,2026-09-06 20:49:49
C202609000012,U10045,P10016,3,CHATSESS634432,其他,5,2,267,650,1,加购,2026-09-10 19:50:22,2026-09-10 20:01:12
C202609000013,U10276,P10012,4,CHATSESS974707,物流查询,5,5,7,674,1,加购,2026-09-01 00:01:57,2026-09-01 00:13:11
C202609000014,U10197,P10009,1,CHATSESS715900,物流查询,7,6,73,1639,0,,2026-09-13 02:02:14,2026-09-13 02:29:33
C202609000015,U10132,P10019,5,CHATSESS352830,物流查询,3,3,102,1702,1,加购,2026-09-06 05:56:01,2026-09-06 06:24:23
C202609000016,U10494,P10007,6,CHATSESS820918,商品咨询,2,0,0,1006,1,下单,2026-09-09 18:49:29,2026-09-09 19:06:15
C202609000017,U10172,P10007,3,CHATSESS935963,售后问题,2,2,176,1181,0,,2026-09-11 22:13:46,2026-09-11 22:33:27
C202609000018,U10138,P10014,10,CHATSESS386974,商品咨询,3,2,49,501,0,,2026-09-03 12:06:17,2026-09-03 12:14:38
C202609000019,U10295,P10002,7,CHATSESS571085,投诉建议,6,4,68,666,1,加购,2026-09-05 14:23:21,2026-09-05 14:34:27
C202609000020,U10454,P10007,4,CHATSESS233540,售后问题,1,1,122,1350,0,,2026-09-13 13:04:49,2026-09-13 13:27:19
C202609000021,U10060,P10015,7,CHATSESS958795,商品咨询,6,2,6,1148,1,下单,2026-09-01 20:11:47,2026-09-01 20:30:55
C202609000022,U10158,P10015,7,CHATSESS242318,物流查询,6,0,0,548,1,加购,2026-09-06 10:07:39,2026-09-06 10:16:47
C202609000023,U10209,P10014,7,CHATSESS378530,商品咨询,7,6,252,350,0,,2026-09-07 02:35:16,2026-09-07 02:41:06
C202609000024,U10454,P10006,1,CHATSESS815299,价格活动,5,0,0,1116,0,,2026-09-09 06:07:25,2026-09-09 06:26:01
C202609000025,U10044,P10006,8,CHATSESS389714,其他,8,7,209,384,1,下单,2026-09-05 15:55:59,2026-09-05 16:02:23
C202609000026,U10330,P10014,1,CHATSESS258128,物流查询,1,1,222,346,0,,2026-09-14 13:11:06,2026-09-14 13:16:52
